original,converted,r1_clipping,r1_brightness,r1_hue,r2_clipping,r2_brightness,r2_hue,rae,rmae,rmse,rpae,ssim_value,ssim_hue,ssim_saturation
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_DxO.dng,2,2,2,1,2,3,1,0.061800346,0.0066395923,0.24074075,0.541504,0.59507453,0.41031724
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_DxO.dng,2,2,3,1,2,3,1,0.11947908,0.020142587,0.38888884,0.6906195,0.46061164,0.2590654
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_DxO.dng,3,2,3,3,2,3,1,0.041147474,0.002265951,0.13419913,0.91159636,0.96940374,0.78706264
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_DxO.dng,3,3,2,3,2,3,1,0.037236992,0.0020260143,0.12862316,0.9098909,0.81986433,0.6495489
Canon40D_FLO_.CR2,Canon40D_FLO_DxO.dng,2,2,3,2,2,2,1,0.086634725,0.009732319,0.15294118,0.6725559,0.84269065,0.5521524
Canon5DII_FLO_.CR2,Canon5DII_FLO_DxO.dng,2,2,3,2,2,3,1,0.13777229,0.030149579,0.45520362,0.77065706,0.7748129,0.6090943
Canon60D_FLO_.CR2,Canon60D_FLO_DxO.dng,3,2,2,2,2,3,1,0.116215125,0.01603841,0.2337963,0.9075751,0.80598974,0.73701686
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_DxO.dng,3,3,2,2,3,3,1,0.010324426,0.0002411686,0.052575886,0.9545817,0.8944703,0.80713737
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_DxO.dng,3,2,3,3,2,3,1,0.1380083,0.03532228,0.46428576,0.9698831,0.8959577,0.7796151
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_DxO.dng,3,2,2,3,2,3,1,0.11121475,0.02459603,0.3333333,0.954917,0.8520319,0.76570815
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_DxO.dng,2,2,3,2,3,3,0.72,0.17135948,0.1267687,1,0.87443453,0.76741815,0.53160226
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_DxO.dng,3,3,3,3,3,3,1,0.12907442,0.022941532,0.3156695,0.8553171,0.75934684,0.5029253
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_DxO.dng,2,2,3,2,3,3,1,0.055550016,0.00802635,0.36111113,0.6644249,0.62421834,0.36764812
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_DxO.dng,2,3,2,2,3,3,1,0.10417972,0.015097632,0.23157895,0.7669664,0.5840751,0.52794695
