original,converted,human,phash
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_CaptureOne.dng,1,8
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_CaptureOne.dng,1,4
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_CaptureOne.dng,1,4
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_CaptureOne.dng,1,4
Canon40D_FLO_.CR2,Canon40D_FLO_CaptureOne.dng,0,0
Canon5DII_FLO_.CR2,Canon5DII_FLO_CaptureOne.dng,1,4
Canon60D_FLO_.CR2,Canon60D_FLO_CaptureOne.dng,1,0
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_CaptureOne.dng,0,2
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_CaptureOne.dng,0,6
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_CaptureOne.dng,0,0
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_CaptureOne.dng,0,2
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_CaptureOne.dng,0,8
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_CaptureOne.dng,0,12
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_CaptureOne.dng,0,12
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_CaptureOne.dng,0,18
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_CaptureOne.dng,0,0
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_CaptureOne.dng,0,0
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_CaptureOne.dng,0,0
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_CaptureOne.dng,0,0
D300_PN_DSC_7589_.NEF,D300_PN_DSC_7589_CaptureOne.dng,0,0
D300_PN_DSC_8921_.NEF,D300_PN_DSC_8921_CaptureOne.dng,0,0
D300_PN_DSC_8937_.NEF,D300_PN_DSC_8937_CaptureOne.dng,0,2
D300_PN_DSC_9062_.NEF,D300_PN_DSC_9062_CaptureOne.dng,0,6
D300_PN_DSC_9164_.NEF,D300_PN_DSC_9164_CaptureOne.dng,0,8
D3_LISI_DSC4421_.NEF,D3_LISI_DSC4421_CaptureOne.dng,1,2
D3_LISI_IMG4467_.NEF,D3_LISI_IMG4467_CaptureOne.dng,1,6
D3_LISI_IMG4502_.NEF,D3_LISI_IMG4502_CaptureOne.dng,1,6
D3_LISI_pflanze_011_.NEF,D3_LISI_pflanze_011_CaptureOne.dng,0,8
D4_LISI_hundezone_009_.NEF,D4_LISI_hundezone_009_CaptureOne.dng,0,6
D4_LISI_hundezone_029_.NEF,D4_LISI_hundezone_029_CaptureOne.dng,0,4
D4_LISI_hundezone_043_.NEF,D4_LISI_hundezone_043_CaptureOne.dng,0,8
D4_LISI_hundezone_045_.NEF,D4_LISI_hundezone_045_CaptureOne.dng,0,4
D700_CMK_1449_.NEF,D700_CMK_1449_CaptureOne.dng,1,4
D700_CMK_1455_.NEF,D700_CMK_1455_CaptureOne.dng,1,4
D700_CMK_1476_.NEF,D700_CMK_1476_CaptureOne.dng,1,6
D700_KPIC_1_.NEF,D700_KPIC_1_CaptureOne.dng,1,12
D700_KPIC_2_.NEF,D700_KPIC_2_CaptureOne.dng,1,8
D700_KPIC_3_.NEF,D700_KPIC_3_CaptureOne.dng,1,6
D700_PN_DSC_0143_.NEF,D700_PN_DSC_0143_CaptureOne.dng,1,14
D700_PN_DSC_0302_.NEF,D700_PN_DSC_0302_CaptureOne.dng,1,4
D700_PN_DSC_0364_.NEF,D700_PN_DSC_0364_CaptureOne.dng,1,8
D700_PN_DSC_0443_.NEF,D700_PN_DSC_0443_CaptureOne.dng,1,2
D700_PN_DSC_0570_.NEF,D700_PN_DSC_0570_CaptureOne.dng,1,0
D700_PN_DSC_1220_.NEF,D700_PN_DSC_1220_CaptureOne.dng,1,2
D700_PN_DSC_1316_.NEF,D700_PN_DSC_1316_CaptureOne.dng,1,2
D700_PN_DSC_1348_.NEF,D700_PN_DSC_1348_CaptureOne.dng,1,4
D700_PN_DSC_1353_.NEF,D700_PN_DSC_1353_CaptureOne.dng,1,2
D700_PN_DSC_2109_.NEF,D700_PN_DSC_2109_CaptureOne.dng,1,2
D700_PN_DSC_2261_.NEF,D700_PN_DSC_2261_CaptureOne.dng,1,6
D700_PN_DSC_2552_.NEF,D700_PN_DSC_2552_CaptureOne.dng,1,2
D700_PN_DSC_3021_.NEF,D700_PN_DSC_3021_CaptureOne.dng,1,4
D700_PN_DSC_3032_.NEF,D700_PN_DSC_3032_CaptureOne.dng,1,6
D700_PN_DSC_3735_.NEF,D700_PN_DSC_3735_CaptureOne.dng,1,4
D700_PN_DSC_3748_.NEF,D700_PN_DSC_3748_CaptureOne.dng,1,6
D700_PN_DSC_3825_.NEF,D700_PN_DSC_3825_CaptureOne.dng,1,2
D700_PN_DSC_3872_.NEF,D700_PN_DSC_3872_CaptureOne.dng,1,6
D700_PN_DSC_4115_.NEF,D700_PN_DSC_4115_CaptureOne.dng,1,0
D700_PN_DSC_4148_.NEF,D700_PN_DSC_4148_CaptureOne.dng,1,6
D700_PN_DSC_4176_.NEF,D700_PN_DSC_4176_CaptureOne.dng,1,2
D700_PN_DSC_4219_.NEF,D700_PN_DSC_4219_CaptureOne.dng,1,4
D700_PN_DSC_4406_.NEF,D700_PN_DSC_4406_CaptureOne.dng,1,2
D700_PN_DSC_4607_.NEF,D700_PN_DSC_4607_CaptureOne.dng,1,4
D700_PN_DSC_4745_.NEF,D700_PN_DSC_4745_CaptureOne.dng,1,2
D700_PN_DSC_4769_.NEF,D700_PN_DSC_4769_CaptureOne.dng,1,4
D700_PN_DSC_4931_.NEF,D700_PN_DSC_4931_CaptureOne.dng,1,0
D700_PN_DSC_5284_.NEF,D700_PN_DSC_5284_CaptureOne.dng,1,4
D700_PN_DSC_5424_.NEF,D700_PN_DSC_5424_CaptureOne.dng,1,6
D700_PN_DSC_5526_.NEF,D700_PN_DSC_5526_CaptureOne.dng,1,4
D700_PN_DSC_5590_.NEF,D700_PN_DSC_5590_CaptureOne.dng,1,12
D700_PN_DSC_5641_.NEF,D700_PN_DSC_5641_CaptureOne.dng,1,0
D700_PN_DSC_5670_.NEF,D700_PN_DSC_5670_CaptureOne.dng,1,2
D700_PN_DSC_5705_.NEF,D700_PN_DSC_5705_CaptureOne.dng,1,0
D700_PN_DSC_5787_.NEF,D700_PN_DSC_5787_CaptureOne.dng,1,0
D700_PN_DSC_5796_.NEF,D700_PN_DSC_5796_CaptureOne.dng,1,2
D700_PN_DSC_5814_.NEF,D700_PN_DSC_5814_CaptureOne.dng,1,4
D700_PN_DSC_5864_.NEF,D700_PN_DSC_5864_CaptureOne.dng,1,6
D700_PN_DSC_6042_.NEF,D700_PN_DSC_6042_CaptureOne.dng,1,2
D700_PN_DSC_6263_.NEF,D700_PN_DSC_6263_CaptureOne.dng,1,6
D700_PN_DSC_6316_.NEF,D700_PN_DSC_6316_CaptureOne.dng,1,8
D700_PN_DSC_7179_.NEF,D700_PN_DSC_7179_CaptureOne.dng,1,6
D700_PN_DSC_7941_.NEF,D700_PN_DSC_7941_CaptureOne.dng,1,6
D700_PN_DSC_8622_.NEF,D700_PN_DSC_8622_CaptureOne.dng,1,0
D700_PN_DSC_8735_.NEF,D700_PN_DSC_8735_CaptureOne.dng,1,2
D700_PN_DSC_9047_.NEF,D700_PN_DSC_9047_CaptureOne.dng,1,2
D70s_PN_20080619-DSC_0252_1839_.NEF,D70s_PN_20080619-DSC_0252_1839_CaptureOne.dng,1,4
D70s_PN_DSC_0045_.NEF,D70s_PN_DSC_0045_CaptureOne.dng,1,4
D70s_PN_DSC_0226_.NEF,D70s_PN_DSC_0226_CaptureOne.dng,1,4
D70s_PN_DSC_0264_.NEF,D70s_PN_DSC_0264_CaptureOne.dng,1,0
D70s_PN_DSC_0309_.NEF,D70s_PN_DSC_0309_CaptureOne.dng,1,0
