original,converted,human,phash
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_DxO.dng,0,8
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_DxO.dng,0,12
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_DxO.dng,1,2
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_DxO.dng,1,2
Canon40D_FLO_.CR2,Canon40D_FLO_DxO.dng,0,2
Canon5DII_FLO_.CR2,Canon5DII_FLO_DxO.dng,1,6
Canon60D_FLO_.CR2,Canon60D_FLO_DxO.dng,1,2
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_DxO.dng,1,10
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_DxO.dng,1,10
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_DxO.dng,1,4
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_DxO.dng,0,2
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_DxO.dng,1,6
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_DxO.dng,0,6
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_DxO.dng,0,6
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_DxO.dng,0,12
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_DxO.dng,1,8
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_DxO.dng,0,2
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_DxO.dng,1,2
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_DxO.dng,1,0
D300_PN_DSC_7589_.NEF,D300_PN_DSC_7589_DxO.dng,1,4
D300_PN_DSC_8921_.NEF,D300_PN_DSC_8921_DxO.dng,1,8
D300_PN_DSC_8937_.NEF,D300_PN_DSC_8937_DxO.dng,1,6
D300_PN_DSC_9062_.NEF,D300_PN_DSC_9062_DxO.dng,1,2
D300_PN_DSC_9164_.NEF,D300_PN_DSC_9164_DxO.dng,1,6
D3_LISI_DSC4421_.NEF,D3_LISI_DSC4421_DxO.dng,1,0
D3_LISI_IMG4467_.NEF,D3_LISI_IMG4467_DxO.dng,1,2
D3_LISI_IMG4502_.NEF,D3_LISI_IMG4502_DxO.dng,1,4
D3_LISI_pflanze_011_.NEF,D3_LISI_pflanze_011_DxO.dng,1,6
D4_LISI_hundezone_009_.NEF,D4_LISI_hundezone_009_DxO.dng,0,6
D4_LISI_hundezone_029_.NEF,D4_LISI_hundezone_029_DxO.dng,0,4
D4_LISI_hundezone_043_.NEF,D4_LISI_hundezone_043_DxO.dng,0,2
D4_LISI_hundezone_045_.NEF,D4_LISI_hundezone_045_DxO.dng,0,8
D700_CMK_1449_.NEF,D700_CMK_1449_DxO.dng,0,8
D700_CMK_1455_.NEF,D700_CMK_1455_DxO.dng,1,10
D700_CMK_1476_.NEF,D700_CMK_1476_DxO.dng,0,4
D700_KPIC_1_.NEF,D700_KPIC_1_DxO.dng,0,10
D700_KPIC_2_.NEF,D700_KPIC_2_DxO.dng,0,10
D700_KPIC_3_.NEF,D700_KPIC_3_DxO.dng,1,14
D700_PN_DSC_0143_.NEF,D700_PN_DSC_0143_DxO.dng,0,12
D700_PN_DSC_0302_.NEF,D700_PN_DSC_0302_DxO.dng,1,6
D700_PN_DSC_0364_.NEF,D700_PN_DSC_0364_DxO.dng,1,6
D700_PN_DSC_0443_.NEF,D700_PN_DSC_0443_DxO.dng,0,10
D700_PN_DSC_0570_.NEF,D700_PN_DSC_0570_DxO.dng,1,6
D700_PN_DSC_1220_.NEF,D700_PN_DSC_1220_DxO.dng,1,4
D700_PN_DSC_1316_.NEF,D700_PN_DSC_1316_DxO.dng,0,6
D700_PN_DSC_1348_.NEF,D700_PN_DSC_1348_DxO.dng,0,10
D700_PN_DSC_1353_.NEF,D700_PN_DSC_1353_DxO.dng,0,4
D700_PN_DSC_2109_.NEF,D700_PN_DSC_2109_DxO.dng,0,6
D700_PN_DSC_2261_.NEF,D700_PN_DSC_2261_DxO.dng,0,8
D700_PN_DSC_2552_.NEF,D700_PN_DSC_2552_DxO.dng,1,4
D700_PN_DSC_3021_.NEF,D700_PN_DSC_3021_DxO.dng,1,10
D700_PN_DSC_3032_.NEF,D700_PN_DSC_3032_DxO.dng,0,8
D700_PN_DSC_3735_.NEF,D700_PN_DSC_3735_DxO.dng,1,6
D700_PN_DSC_3748_.NEF,D700_PN_DSC_3748_DxO.dng,0,12
D700_PN_DSC_3825_.NEF,D700_PN_DSC_3825_DxO.dng,1,14
D700_PN_DSC_3872_.NEF,D700_PN_DSC_3872_DxO.dng,1,8
D700_PN_DSC_4115_.NEF,D700_PN_DSC_4115_DxO.dng,1,4
D700_PN_DSC_4148_.NEF,D700_PN_DSC_4148_DxO.dng,0,2
D700_PN_DSC_4176_.NEF,D700_PN_DSC_4176_DxO.dng,0,0
D700_PN_DSC_4219_.NEF,D700_PN_DSC_4219_DxO.dng,0,4
D700_PN_DSC_4406_.NEF,D700_PN_DSC_4406_DxO.dng,0,6
D700_PN_DSC_4607_.NEF,D700_PN_DSC_4607_DxO.dng,1,6
D700_PN_DSC_4745_.NEF,D700_PN_DSC_4745_DxO.dng,0,6
D700_PN_DSC_4769_.NEF,D700_PN_DSC_4769_DxO.dng,0,8
D700_PN_DSC_4931_.NEF,D700_PN_DSC_4931_DxO.dng,1,8
D700_PN_DSC_5284_.NEF,D700_PN_DSC_5284_DxO.dng,1,6
D700_PN_DSC_5424_.NEF,D700_PN_DSC_5424_DxO.dng,1,10
D700_PN_DSC_5526_.NEF,D700_PN_DSC_5526_DxO.dng,1,4
D700_PN_DSC_5590_.NEF,D700_PN_DSC_5590_DxO.dng,0,20
D700_PN_DSC_5641_.NEF,D700_PN_DSC_5641_DxO.dng,0,8
D700_PN_DSC_5670_.NEF,D700_PN_DSC_5670_DxO.dng,1,8
D700_PN_DSC_5705_.NEF,D700_PN_DSC_5705_DxO.dng,0,6
D700_PN_DSC_5787_.NEF,D700_PN_DSC_5787_DxO.dng,0,2
D700_PN_DSC_5796_.NEF,D700_PN_DSC_5796_DxO.dng,0,6
D700_PN_DSC_5814_.NEF,D700_PN_DSC_5814_DxO.dng,0,10
D700_PN_DSC_5864_.NEF,D700_PN_DSC_5864_DxO.dng,0,22
D700_PN_DSC_6042_.NEF,D700_PN_DSC_6042_DxO.dng,1,8
D700_PN_DSC_6263_.NEF,D700_PN_DSC_6263_DxO.dng,0,8
D700_PN_DSC_6316_.NEF,D700_PN_DSC_6316_DxO.dng,0,2
D700_PN_DSC_7179_.NEF,D700_PN_DSC_7179_DxO.dng,0,10
D700_PN_DSC_7941_.NEF,D700_PN_DSC_7941_DxO.dng,1,4
D700_PN_DSC_8622_.NEF,D700_PN_DSC_8622_DxO.dng,0,20
D700_PN_DSC_8735_.NEF,D700_PN_DSC_8735_DxO.dng,0,8
D700_PN_DSC_9047_.NEF,D700_PN_DSC_9047_DxO.dng,0,10
D70s_PN_20080619-DSC_0252_1839_.NEF,D70s_PN_20080619-DSC_0252_1839_DxO.dng,0,6
D70s_PN_DSC_0045_.NEF,D70s_PN_DSC_0045_DxO.dng,0,6
D70s_PN_DSC_0226_.NEF,D70s_PN_DSC_0226_DxO.dng,1,20
D70s_PN_DSC_0264_.NEF,D70s_PN_DSC_0264_DxO.dng,0,2
D70s_PN_DSC_0309_.NEF,D70s_PN_DSC_0309_DxO.dng,1,4
D800_KPIC_1_.NEF,D800_KPIC_1_DxO.dng,0,4
D800_KPIC_2_.NEF,D800_KPIC_2_DxO.dng,1,6
D80_PN_20070331-0216-1_.NEF,D80_PN_20070331-0216-1_DxO.dng,0,6
D80_PN_20070331-0336-2_.NEF,D80_PN_20070331-0336-2_DxO.dng,0,4
D80_PN_20070331-1952-4_.NEF,D80_PN_20070331-1952-4_DxO.dng,1,2
D80_PN_DSC_0151_.NEF,D80_PN_DSC_0151_DxO.dng,1,6
DSC_0141_.NEF,DSC_0141_DxO.dng,1,0
DSC_2265_.NEF,DSC_2265_DxO.dng,1,0
DSC_2599_.NEF,DSC_2599_DxO.dng,1,0
DSC_2982_.NEF,DSC_2982_DxO.dng,1,0
DSC_2984_.NEF,DSC_2984_DxO.dng,1,0
DSC_2986_.NEF,DSC_2986_DxO.dng,1,0
DSC_2987_.NEF,DSC_2987_DxO.dng,1,0
DSC_2988_.NEF,DSC_2988_DxO.dng,1,0
DSC_2991_.NEF,DSC_2991_DxO.dng,1,0
DSC_3006_.NEF,DSC_3006_DxO.dng,1,0
DSC_3015_.NEF,DSC_3015_DxO.dng,1,0
DSC_3022_.NEF,DSC_3022_DxO.dng,1,0
DSC_3023_.NEF,DSC_3023_DxO.dng,1,0
DSC_3024_.NEF,DSC_3024_DxO.dng,1,0
DSC_3025_.NEF,DSC_3025_DxO.dng,1,0
DSC_3029_.NEF,DSC_3029_DxO.dng,1,0
DSC_3030_.NEF,DSC_3030_DxO.dng,1,0
DSC_3031_.NEF,DSC_3031_DxO.dng,1,0
DSC_3032_.NEF,DSC_3032_DxO.dng,1,0
DSC_3036_.NEF,DSC_3036_DxO.dng,1,0
DSC_3037_.NEF,DSC_3037_DxO.dng,1,0
DSC_3038_.NEF,DSC_3038_DxO.dng,1,0
DSC_3040_.NEF,DSC_3040_DxO.dng,1,0
DSC_3044_.NEF,DSC_3044_DxO.dng,1,0
DSC_3045_.NEF,DSC_3045_DxO.dng,1,0
DSC_3046_.NEF,DSC_3046_DxO.dng,1,0
DSC_3047_.NEF,DSC_3047_DxO.dng,1,0
DSC_3049_.NEF,DSC_3049_DxO.dng,1,0
DSC_3051_.NEF,DSC_3051_DxO.dng,1,0
DSC_3052_.NEF,DSC_3052_DxO.dng,1,0
DSC_3055_.NEF,DSC_3055_DxO.dng,1,0
DSC_3056_.NEF,DSC_3056_DxO.dng,1,0
DSC_3059_.NEF,DSC_3059_DxO.dng,1,0
DSC_3061_.NEF,DSC_3061_DxO.dng,1,0
DSC_3065_.NEF,DSC_3065_DxO.dng,1,0
DSC_3087_.NEF,DSC_3087_DxO.dng,1,0
DSC_3088_.NEF,DSC_3088_DxO.dng,1,0
DSC_3094_.NEF,DSC_3094_DxO.dng,1,0
DSC_3095_.NEF,DSC_3095_DxO.dng,1,0
DSC_3096_.NEF,DSC_3096_DxO.dng,1,0
DSC_3097_.NEF,DSC_3097_DxO.dng,1,0
DSC_3101_.NEF,DSC_3101_DxO.dng,1,0
DSC_3102_.NEF,DSC_3102_DxO.dng,1,0
DSC_3104_.NEF,DSC_3104_DxO.dng,1,0
DSC_3108_.NEF,DSC_3108_DxO.dng,1,0
DSC_3110_.NEF,DSC_3110_DxO.dng,1,0
DSC_3113_.NEF,DSC_3113_DxO.dng,1,0
DSC_3114_.NEF,DSC_3114_DxO.dng,1,0
DSC_3115_.NEF,DSC_3115_DxO.dng,1,0
DSC_3116_.NEF,DSC_3116_DxO.dng,1,0
DSC_3117_.NEF,DSC_3117_DxO.dng,1,0
DSC_3118_.NEF,DSC_3118_DxO.dng,1,0
DSC_3121_.NEF,DSC_3121_DxO.dng,1,0
DSC_3122_.NEF,DSC_3122_DxO.dng,1,0
DSC_3123_.NEF,DSC_3123_DxO.dng,1,0
DSC_3124_.NEF,DSC_3124_DxO.dng,1,0
