original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/5DIII_LISI_charlie_maedels_1081_.CR2	converted_AdobeDNC/5DIII_LISI_charlie_maedels_1081_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.989876	0.9920797	0.9986126	0.99395	7.107772E-006
originals/5DIII_LISI_charlie_nachbarin_007_.CR2	converted_AdobeDNC/5DIII_LISI_charlie_nachbarin_007_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.97429293	0.98777896	0.9977437	0.99998146	0.00000729
originals/5DIII_LISI_charlito85er_005_.CR2	converted_AdobeDNC/5DIII_LISI_charlito85er_005_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99887997	0.9951933	0.9992222	1	3.7516093E-006
originals/5DIII_LISI_charlito85er_026_.CR2	converted_AdobeDNC/5DIII_LISI_charlito85er_026_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9944812	0.9881319	0.99768317	0.99999636	5.615146E-006
originals/Canon5DII_FLO_.CR2	converted_AdobeDNC/Canon5DII_FLO_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9949507	0.9923271	0.9981612	0.9992506	5.3147058E-005
originals/Canon40D_FLO_.CR2	converted_AdobeDNC/Canon40D_FLO_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9880661	0.9865393	0.9993037	0.9999937	6.735019E-005
originals/Canon60D_FLO_.CR2	converted_AdobeDNC/Canon60D_FLO_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9477117	0.95402783	0.97698396	0.96704644	0.0027405887
originals/D3_LISI_DSC4421_.NEF	converted_AdobeDNC/D3_LISI_DSC4421_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9994218	0.996813	0.99962354	0.9763136	6.2076265E-007
originals/D3_LISI_IMG4467_.NEF	converted_AdobeDNC/D3_LISI_IMG4467_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99896246	0.9980242	0.9999184	0.97420436	1.4828938E-006
originals/D3_LISI_IMG4502_.NEF	converted_AdobeDNC/D3_LISI_IMG4502_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9687739	0.9614191	0.9960431	0.9991487	0.000144441
