original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/5DIII_LISI_charlie_maedels_1081_.CR2	converted_AdobeDNC/5DIII_LISI_charlie_maedels_1081_AdobeDNC.dng	3	2	3	3	2	3					0.8668525	0.8530242	0.9395484		
originals/5DIII_LISI_charlie_nachbarin_007_.CR2	converted_AdobeDNC/5DIII_LISI_charlie_nachbarin_007_AdobeDNC.dng	3	2	3	3	2	2					0.83880436	0.7399428	0.8976802		
originals/5DIII_LISI_charlito85er_005_.CR2	converted_AdobeDNC/5DIII_LISI_charlito85er_005_AdobeDNC.dng	3	2	3	3	2	3					0.985062	0.8451894	0.9420406		
originals/5DIII_LISI_charlito85er_026_.CR2	converted_AdobeDNC/5DIII_LISI_charlito85er_026_AdobeDNC.dng	3	2	3	3	2	3					0.9237141	0.787641	0.94188213		
originals/Canon5DII_FLO_.CR2	converted_AdobeDNC/Canon5DII_FLO_AdobeDNC.dng	2	2	3	2	2	3	0.9899881	0.0746		0.7810178	0.9963908	0.9920233	0.99933416	0.9989633	0.000009523
originals/Canon40D_FLO_.CR2	converted_AdobeDNC/Canon40D_FLO_AdobeDNC.dng	3	2	3	3	2	3					0.861416	0.59118426	0.81501013		
originals/Canon60D_FLO_.CR2	converted_AdobeDNC/Canon60D_FLO_AdobeDNC.dng	3	2	3	3	2	3	0.98142326	0.031558104		0.6142214	0.9473126	0.90374005	0.93429554	1	0.011714001
originals/D3_LISI_DSC4421_.NEF	converted_AdobeDNC/D3_LISI_DSC4421_AdobeDNC.dng	3	2	3	3	2	3					0.9994641	0.9971152	0.9995449		
originals/D3_LISI_IMG4467_.NEF	converted_AdobeDNC/D3_LISI_IMG4467_AdobeDNC.dng	3	2	3	3	2	3			0.24157624		0.9991853	0.9987096	0.9999389		
originals/D3_LISI_IMG4502_.NEF	converted_AdobeDNC/D3_LISI_IMG4502_AdobeDNC.dng	3	2	3	3	2	3			0.24157624		0.99803203	0.997195	0.9997855		
originals/D3_LISI_pflanze_011_.NEF	converted_AdobeDNC/D3_LISI_pflanze_011_AdobeDNC.dng	3	2	3	3	2	3					0.67079604	0.11770682	0.43106508		
originals/D4_LISI_hundezone_009_.NEF	converted_AdobeDNC/D4_LISI_hundezone_009_AdobeDNC.dng	3	2	3	3	2	3					0.85687643	0.43521965	0.47915277		
originals/D4_LISI_hundezone_029_.NEF	converted_AdobeDNC/D4_LISI_hundezone_029_AdobeDNC.dng	3	2	3	3	2	3			0.14205496		0.7940198	0.30860537	0.4927666		
originals/D4_LISI_hundezone_043_.NEF	converted_AdobeDNC/D4_LISI_hundezone_043_AdobeDNC.dng	3	2	3	3	2	3			0.14205496		0.7579556	0.41307262	0.45213455		
originals/D4_LISI_hundezone_045_.NEF	converted_AdobeDNC/D4_LISI_hundezone_045_AdobeDNC.dng	3	2	3	3	2	3					0.68867195	0.38032126	0.39051998		
originals/D70s_PN_20080619-DSC_0252_1839_.NEF	converted_AdobeDNC/D70s_PN_20080619-DSC_0252_1839_AdobeDNC.dng	3	2	3	3	2	3					0.99930894	0.99923867	0.99962264		
originals/D70s_PN_DSC_0045_.NEF	converted_AdobeDNC/D70s_PN_DSC_0045_AdobeDNC.dng	3	2	3	3	2	3					0.9958021	0.99592644	0.9995297		
originals/D70s_PN_DSC_0226_.NEF	converted_AdobeDNC/D70s_PN_DSC_0226_AdobeDNC.dng	3	2	3	3	2	3					0.9956558	0.99660754	0.9997311		
originals/D70s_PN_DSC_0264_.NEF	converted_AdobeDNC/D70s_PN_DSC_0264_AdobeDNC.dng	3	2	3	3	2	3					0.9993903	0.99795365	0.9993889		
