original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/5DIII_LISI_charlie_maedels_1081_.CR2	converted_DxO/5DIII_LISI_charlie_maedels_1081_DxO.dng	2	2	2	1	2	3					0.5902323	0.46061957	0.47834885		
originals/5DIII_LISI_charlie_nachbarin_007_.CR2	converted_DxO/5DIII_LISI_charlie_nachbarin_007_DxO.dng	2	2	3	1	2	3					0.4138794	0.35014555	0.55764353		
originals/5DIII_LISI_charlito85er_005_.CR2	converted_DxO/5DIII_LISI_charlito85er_005_DxO.dng	3	2	3	3	2	3					0.9689709	0.8008571	0.8968724		
originals/5DIII_LISI_charlito85er_026_.CR2	converted_DxO/5DIII_LISI_charlito85er_026_DxO.dng	3	3	2	3	2	3					0.81237394	0.6636579	0.9088203		
originals/Canon5DII_FLO_.CR2	converted_DxO/Canon5DII_FLO_DxO.dng	2	2	3	2	2	2					0.7917773	0.6022283	0.7820959		
originals/Canon40D_FLO_.CR2	converted_DxO/Canon40D_FLO_DxO.dng	2	2	3	2	2	3					0.8406303	0.55221266	0.66880924		
originals/Canon60D_FLO_.CR2	converted_DxO/Canon60D_FLO_DxO.dng	3	2	2	2	2	3					0.8057943	0.73828363	0.9088556		
originals/D3_LISI_DSC4421_.NEF	converted_DxO/D3_LISI_DSC4421_DxO.dng	3	3	2	2	3	3					0.9636476	0.8460202	0.9743097		
originals/D3_LISI_IMG4467_.NEF	converted_DxO/D3_LISI_IMG4467_DxO.dng	3	2	3	3	2	3					0.86007226	0.6958571	0.91268563		
originals/D3_LISI_IMG4502_.NEF	converted_DxO/D3_LISI_IMG4502_DxO.dng	3	2	2	3	2	3					0.7302109	0.6425917	0.9617058		
originals/D3_LISI_pflanze_011_.NEF	converted_DxO/D3_LISI_pflanze_011_DxO.dng	2	2	3	2	3	3					0.56652254	0.24491657	0.6245887		
originals/D4_LISI_hundezone_009_.NEF	converted_DxO/D4_LISI_hundezone_009_DxO.dng	3	3	3	3	3	3					0.895436	0.7345805	0.7998297		
originals/D4_LISI_hundezone_029_.NEF	converted_DxO/D4_LISI_hundezone_029_DxO.dng	2	2	3	2	3	3					0.78713626	0.5627621	0.74652886		
originals/D4_LISI_hundezone_043_.NEF	converted_DxO/D4_LISI_hundezone_043_DxO.dng	2	3	2	2	3	3					0.7681441	0.6804383	0.7409376		
originals/D4_LISI_hundezone_045_.NEF	converted_DxO/D4_LISI_hundezone_045_DxO.dng	2	2	3	2	3	3					0.7006858	0.6212588	0.6590855		
originals/D70s_PN_20080619-DSC_0252_1839_.NEF	converted_DxO/D70s_PN_20080619-DSC_0252_1839_DxO.dng	2	2	3	2	3	3					0.71228284	0.46705252	0.74059755		
originals/D70s_PN_DSC_0045_.NEF	converted_DxO/D70s_PN_DSC_0045_DxO.dng	2	3	3	2	2	3					0.6343524	0.6064823	0.9574555		
originals/D70s_PN_DSC_0226_.NEF	converted_DxO/D70s_PN_DSC_0226_DxO.dng	2	3	3	2	2	3					0.6592168	0.6729399	0.9700818		
originals/D70s_PN_DSC_0264_.NEF	converted_DxO/D70s_PN_DSC_0264_DxO.dng	2	2	3	3	2	3					0.48367414	0.15392454	0.43504816		
originals/D70s_PN_DSC_0309_.NEF	converted_DxO/D70s_PN_DSC_0309_DxO.dng	2	2	3	3	2	3					0.76842237	0.80024433	0.9784002		
originals/D80_PN_20070331-0216-1_.NEF	converted_DxO/D80_PN_20070331-0216-1_DxO.dng	2	3	2	2	3	3					0.71960175	0.42934293	0.5978839		
originals/D80_PN_20070331-0336-2_.NEF	converted_DxO/D80_PN_20070331-0336-2_DxO.dng	3	2	3	3	2	3					0.7004478	0.41379842	0.63597715		
originals/D80_PN_20070331-1952-4_.NEF	converted_DxO/D80_PN_20070331-1952-4_DxO.dng	2	2	3	2	3	3					0.78578335	0.8389846	0.95939		
originals/D80_PN_DSC_0151_.NEF	converted_DxO/D80_PN_DSC_0151_DxO.dng	3	2	3	3	2	3					0.8917399	0.8183525	0.949437		
originals/D300_PN_DSC_2337_.NEF	converted_DxO/D300_PN_DSC_2337_DxO.dng	3	2	2	3	2	3					0.89156926	0.82240504	0.9403987		
originals/D300_PN_DSC_2373_.NEF	converted_DxO/D300_PN_DSC_2373_DxO.dng	3	2	2	3	2	2					0.89703715	0.8094629	0.96067333		
originals/D300_PN_DSC_2848_.NEF	converted_DxO/D300_PN_DSC_2848_DxO.dng	3	2	3	3	3	3					0.85471725	0.78244066	0.9422288		
originals/D300_PN_DSC_4045_.NEF	converted_DxO/D300_PN_DSC_4045_DxO.dng	3	2	3	3	2	3					0.77020615	0.5298212	0.87592435		
originals/D300_PN_DSC_4311_.NEF	converted_DxO/D300_PN_DSC_4311_DxO.dng	2	2	3	2	3	3					0.7579512	0.49085328	0.85755956		
originals/D300_PN_DSC_4547_.NEF	converted_DxO/D300_PN_DSC_4547_DxO.dng	2	2	3	2	2	3					0.62681633	0.3780734	0.6449325		
originals/D300_PN_DSC_5147_.NEF	converted_DxO/D300_PN_DSC_5147_DxO.dng	2	2	3	2	2	3					0.58192205	0.53441006	0.7623512		
originals/D300_PN_DSC_5358_.NEF	converted_DxO/D300_PN_DSC_5358_DxO.dng	2	2	3	2	2	3					0.75108224	0.50723404	0.71263105		
originals/D300_PN_DSC_5449_.NEF	converted_DxO/D300_PN_DSC_5449_DxO.dng	2	2	3	1	2	3					0.8479492	0.5911796	0.7689252		
originals/D300_PN_DSC_5574_.NEF	converted_DxO/D300_PN_DSC_5574_DxO.dng	2	2	3	1	2	3					0.92955726	0.551307	0.60041994		
originals/D300_PN_DSC_6926_.NEF	converted_DxO/D300_PN_DSC_6926_DxO.dng	2	2	3	2	3	3					0.79858774	0.47746307	0.85138214		
originals/D300_PN_DSC_7484_.NEF	converted_DxO/D300_PN_DSC_7484_DxO.dng	2	2	3	2	3	3					0.74307555	0.5393906	0.91486746		
originals/D300_PN_DSC_7589_.NEF	converted_DxO/D300_PN_DSC_7589_DxO.dng	2	2	2	1	2	3					0.8090082	0.5071316	0.87089056		
originals/D300_PN_DSC_8921_.NEF	converted_DxO/D300_PN_DSC_8921_DxO.dng	2	2	2	3	2	3					0.8913275	0.46816668	0.8013094		
originals/D300_PN_DSC_8937_.NEF	converted_DxO/D300_PN_DSC_8937_DxO.dng	2	2	3	2	3	3					0.68945163	0.37802902	0.82167125		
originals/D300_PN_DSC_9062_.NEF	converted_DxO/D300_PN_DSC_9062_DxO.dng	2	2	2	2	3	3					0.7429716	0.3548294	0.73725075		
originals/D300_PN_DSC_9164_.NEF	converted_DxO/D300_PN_DSC_9164_DxO.dng	3	2	3	3	2	3					0.69252634	0.4406426	0.8280801		
originals/D700_CMK_1449_.NEF	converted_DxO/D700_CMK_1449_DxO.dng	2	2	3	2	2	3					0.8905588	0.43496943	0.3002161		
originals/D700_CMK_1455_.NEF	converted_DxO/D700_CMK_1455_DxO.dng	2	3	3	2	3	3					0.74331087	0.36471263	0.38107184		
originals/D700_CMK_1476_.NEF	converted_DxO/D700_CMK_1476_DxO.dng	2	3	2	2	2	3					0.6671907	0.5741873	0.66501164		
originals/D700_KPIC_1_.NEF	converted_DxO/D700_KPIC_1_DxO.dng	2	2	3	2	3	3					0.920472	0.55289763	0.86898816		
originals/D700_KPIC_2_.NEF	converted_DxO/D700_KPIC_2_DxO.dng	2	3	2	2	2	3					0.97778326	0.3261349	0.2886331		
originals/D700_KPIC_3_.NEF	converted_DxO/D700_KPIC_3_DxO.dng	2	3	2	1	2	3					0.5694674	0.41801867	0.8006077		
originals/D700_PN_DSC_0143_.NEF	converted_DxO/D700_PN_DSC_0143_DxO.dng	2	2	2	2	3	3					0.86027133	0.46469733	0.71749926		
originals/D700_PN_DSC_0302_.NEF	converted_DxO/D700_PN_DSC_0302_DxO.dng	2	2	2	2	2	2					0.913515	0.7953733	0.92329884		
originals/D700_PN_DSC_0364_.NEF	converted_DxO/D700_PN_DSC_0364_DxO.dng	2	2	2	2	3	3					0.88456035	0.7971797	0.9391414		
