Original,Converted,Clipping,Brightness,Hue,Clipping,Brightness,Hue,equals,aeRelative,maeRelative,mseRelative,paeRelative,ssimSimple,ssimSimpleHue,ssimSimpleSaturation,pHash+hamming distance,
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_DxO.dng,2,2,2,1,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.541504,0.59507453,0.41031724,8,2
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_DxO.dng,2,2,3,1,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.6906195,0.46061164,0.2590654,12,2.16666666666667
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_DxO.dng,3,2,3,3,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.91159636,0.96940374,0.78706264,2,2.66666666666667
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_DxO.dng,3,3,2,3,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.9098909,0.81986433,0.6495489,2,2.66666666666667
Canon40D_FLO_.CR2,Canon40D_FLO_DxO.dng,2,2,3,2,2,2,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.6725559,0.84269065,0.5521524,2,2.16666666666667
Canon5DII_FLO_.CR2,Canon5DII_FLO_DxO.dng,2,2,3,2,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.77065706,0.7748129,0.6090943,6,2.33333333333333
Canon60D_FLO_.CR2,Canon60D_FLO_DxO.dng,3,2,2,2,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.9075751,0.80598974,0.73701686,2,2.33333333333333
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_DxO.dng,3,3,2,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.9545817,0.8944703,0.80713737,10,2.66666666666667
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_DxO.dng,3,2,3,3,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.9698831,0.8959577,0.7796151,10,2.66666666666667
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_DxO.dng,3,2,2,3,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.954917,0.8520319,0.76570815,4,2.5
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_DxO.dng,2,2,3,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.87443453,0.76741815,0.53160226,2,2.5
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_DxO.dng,3,3,3,3,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.8553171,0.75934684,0.5029253,6,3
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_DxO.dng,2,2,3,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.6644249,0.62421834,0.36764812,6,2.5
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_DxO.dng,2,3,2,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.7669664,0.5840751,0.52794695,6,2.5
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_DxO.dng,2,2,3,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.730312,0.7524652,0.48741934,12,2.5
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_DxO.dng,2,2,3,2,3,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.84880894,0.8484158,0.5199265,8,2.5
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_DxO.dng,2,3,3,2,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.6266862,0.92862815,0.5408227,2,2.5
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_DxO.dng,2,3,3,2,2,3,FALSE,Image size does not match,Image size does not match,Image size does not match,Image size does not match,0.9025509,0.87319124,0.5476954,2,2.5
