original,converted,r1_clipping,r1_brightness,r1_hue,r2_clipping,r2_brightness,r2_hue,rae,rmae,rmse,rpae,ssim_value,ssim_hue,ssim_saturation
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_AdobeDNC.dng,3,3,3,3,3,3,1,0.012752152,0.0006418908,0.16666669,0.99737453,0.97757906,0.9833752
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_AdobeDNC.dng,3,3,3,3,3,3,1,0.024644135,0.0007537081,0.051599592,0.9854729,0.96060675,0.9506913
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_AdobeDNC.dng,3,3,3,3,3,3,1,0.01975327,0.0006045232,0.04705882,0.9908402,0.9976557,0.9876296
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_AdobeDNC.dng,3,3,3,3,3,3,1,0.019362142,0.0006460256,0.04705882,0.9855038,0.9883307,0.9743764
Canon40D_FLO_.CR2,Canon40D_FLO_AdobeDNC.dng,3,3,3,3,3,3,0.32,0.0010713513,0.000016893553,0.030303001,0.9977407,0.9842879,0.9830851
Canon5DII_FLO_.CR2,Canon5DII_FLO_AdobeDNC.dng,3,3,3,3,3,3,0.48,0.0074558654,0.0005176537,0.16666669,0.99749196,0.99096155,0.9810036
Canon60D_FLO_.CR2,Canon60D_FLO_AdobeDNC.dng,3,3,3,3,3,3,1,0.023669003,0.0013625523,0.06666666,0.9763794,0.94676447,0.9520351
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_AdobeDNC.dng,3,3,3,3,3,3,1,0.007476823,0.00008976941,0.015686274,0.99668306,0.9801306,0.96675515
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_AdobeDNC.dng,3,3,3,3,3,3,1,0.016519377,0.0005643431,0.08333334,0.99657416,0.9824113,0.97085404
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_AdobeDNC.dng,3,3,3,3,3,3,0.76,0.021319015,0.0024043503,0.2,0.9969837,0.98091644,0.9815197
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_AdobeDNC.dng,3,3,3,3,3,3,0.04,0.013385621,0.013333539,1,0.9933176,0.97619903,0.97141755
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_AdobeDNC.dng,3,3,3,3,3,3,1,0.010650412,0.0001893131,0.041666657,0.9956099,0.985096,0.9767773
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_AdobeDNC.dng,3,3,3,3,3,3,1,0.015148934,0.0007192914,0.16666667,0.99600524,0.96682996,0.9597424
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_AdobeDNC.dng,3,3,3,3,3,3,1,0.012661277,0.0003203271,0.061877668,0.9964196,0.9671592,0.9795958
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_AdobeDNC.dng,3,3,3,3,3,3,1,0.015622002,0.0005279382,0.06417113,0.9967453,0.9822201,0.97307146
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_AdobeDNC.dng,3,3,3,3,3,3,0,0,0,0,0.9952771,0.98475033,0.9744729
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_AdobeDNC.dng,3,3,3,3,3,3,0,0,0,0,0.9968367,0.99431527,0.9857515
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_AdobeDNC.dng,3,3,3,3,3,3,0,0,0,0,0.99351585,0.993072,0.981158
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_AdobeDNC.dng,3,3,3,3,3,3,0,0,0,0,0.9965459,0.98876745,0.9828442
D300_PN_DSC_7589_.NEF,D300_PN_DSC_7589_AdobeDNC.dng,3,3,3,3,3,3,0,0,0,0,0.9960839,0.9911751,0.98671734
D300_PN_DSC_8921_.NEF,D300_PN_DSC_8921_AdobeDNC.dng,3,3,3,3,3,3,1,0.00700982,0.00007899588,0.018038213,0.9968899,0.99520445,0.986175
D300_PN_DSC_8937_.NEF,D300_PN_DSC_8937_AdobeDNC.dng,3,3,3,3,3,3,1,0.0072748126,0.00008681552,0.015686303,0.9953897,0.9837335,0.9626834
D300_PN_DSC_9062_.NEF,D300_PN_DSC_9062_AdobeDNC.dng,3,3,3,3,3,3,1,0.019542065,0.0005808361,0.0731225,0.9959234,0.98806477,0.97323644
D300_PN_DSC_9164_.NEF,D300_PN_DSC_9164_AdobeDNC.dng,3,3,3,3,3,3,1,0.04958768,0.009823915,0.38888887,0.99532527,0.9872846,0.9761385
