original,converted,human,phash
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_AdobeDNC.dng,1,0
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_AdobeDNC.dng,1,0
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_AdobeDNC.dng,1,0
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_AdobeDNC.dng,1,0
Canon40D_FLO_.CR2,Canon40D_FLO_AdobeDNC.dng,1,0
Canon5DII_FLO_.CR2,Canon5DII_FLO_AdobeDNC.dng,1,0
Canon60D_FLO_.CR2,Canon60D_FLO_AdobeDNC.dng,1,0
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_AdobeDNC.dng,1,0
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_AdobeDNC.dng,1,0
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_AdobeDNC.dng,1,0
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_AdobeDNC.dng,1,0
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_AdobeDNC.dng,1,0
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_AdobeDNC.dng,1,2
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_AdobeDNC.dng,1,0
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_AdobeDNC.dng,1,2
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_AdobeDNC.dng,1,0
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_AdobeDNC.dng,1,0
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_AdobeDNC.dng,1,0
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_AdobeDNC.dng,1,0
D300_PN_DSC_7589_.NEF,D300_PN_DSC_7589_AdobeDNC.dng,1,0
D300_PN_DSC_8921_.NEF,D300_PN_DSC_8921_AdobeDNC.dng,1,0
D300_PN_DSC_8937_.NEF,D300_PN_DSC_8937_AdobeDNC.dng,1,0
D300_PN_DSC_9062_.NEF,D300_PN_DSC_9062_AdobeDNC.dng,1,0
D300_PN_DSC_9164_.NEF,D300_PN_DSC_9164_AdobeDNC.dng,1,0
D3_LISI_DSC4421_.NEF,D3_LISI_DSC4421_AdobeDNC.dng,1,0
