original,converted,r1_clipping,r1_brightness,r1_hue,r2_clipping,r2_brightness,r2_hue,equals,aeRelative,maeRelative,mseRelative,paeRelative,ssimSimple,ssimSimpleHue,ssimSimpleSaturation
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9994436,0.9994436,0.00007599642,0.067840576,0.99737453,0.97757906,0.9833752
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.99951977,0.99951977,0.0012811433,0.09651184,0.9854729,0.96060675,0.9506913
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_AdobeDNC.dng,3,3,3,3,3,3,FALSE,1,1,0.002678047,0.10609436,0.9908402,0.9976557,0.9876296
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_AdobeDNC.dng,3,3,3,3,3,3,FALSE,1,1,0.002004616,0.12057495,0.9855038,0.9883307,0.9743764
Canon40D_FLO_.CR2,Canon40D_FLO_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.98011833,0.98011833,0.00003496457,0.14367676,0.9977407,0.9842879,0.9830851
Canon5DII_FLO_.CR2,Canon5DII_FLO_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.90047765,0.90047765,0.00003013826,0.38484192,0.99749196,0.99096155,0.9810036
Canon60D_FLO_.CR2,Canon60D_FLO_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9658695,0.9658695,0.002759284,0.3149109,0.9763794,0.94676447,0.9520351
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9885179,0.9885179,0.0001649483,0.41433716,0.99668306,0.9801306,0.96675515
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9885055,0.9885055,0.0001776481,0.14770508,0.99657416,0.9824113,0.97085404
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9984643,0.9984643,0.0001933016,0.19056702,0.9969837,0.98091644,0.9815197
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9936362,0.9936362,0.0001476757,0.21961975,0.9933176,0.97619903,0.97141755
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9742368,0.9742368,0.0001304543,0.47351074,0.9956099,0.985096,0.9767773
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.97477543,0.97477543,0.0002003049,0.19317627,0.99600524,0.96682996,0.9597424
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9948955,0.9948955,0.0003092228,0.13143921,0.9964196,0.9671592,0.9795958
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.98790145,0.98790145,0.0001995208,0.2947998,0.9967453,0.9822201,0.97307146
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9995209,0.9995209,0.0001612042,0.08139038,0.9952771,0.98475033,0.9744729
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.99999017,0.99999017,0.0002314303,0.12440491,0.9968367,0.99431527,0.9857515
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9998272,0.9998272,0.00007763342,0.31217957,0.99351585,0.993072,0.981158
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_AdobeDNC.dng,3,3,3,3,3,3,FALSE,0.9886598,0.9886598,0.0001154476,0.1454773,0.9965459,0.98876745,0.9828442
