original,converted,r1_clipping,r1_brightness,r1_hue,r2_clipping,r2_brightness,r2_hue,equals,aeRelative,maeRelative,mseRelative,paeRelative,ssimSimple,ssimSimpleHue,ssimSimpleSaturation
5DIII_LISI_charlie_maedels_1081_.CR2,5DIII_LISI_charlie_maedels_1081_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9484108,0.86031854,0.8278504
5DIII_LISI_charlie_nachbarin_007_.CR2,5DIII_LISI_charlie_nachbarin_007_CaptureOne.dng,3,2,3,3,2,2,FALSE,-1,-1,-1,-1,0.9377063,0.830297,0.67174345
5DIII_LISI_charlito85er_005_.CR2,5DIII_LISI_charlito85er_005_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.94806486,0.9841149,0.8297442
5DIII_LISI_charlito85er_026_.CR2,5DIII_LISI_charlito85er_026_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9400678,0.91977245,0.7719817
Canon40D_FLO_.CR2,Canon40D_FLO_CaptureOne.dng,2,2,3,2,2,3,FALSE,-1,-1,-1,-1,0.81974286,0.86058503,0.58896595
Canon5DII_FLO_.CR2,Canon5DII_FLO_CaptureOne.dng,3,2,3,3,2,3,FALSE,0.9980382,0.011362437,0.0001945797,0.1252594,0.9906786,0.98433167,0.9754894
Canon60D_FLO_.CR2,Canon60D_FLO_CaptureOne.dng,3,2,3,3,2,3,FALSE,1,0.100642025,0.011786301,0.5232086,0.9326776,0.94544095,0.90223795
D300_PN_DSC_2337_.NEF,D300_PN_DSC_2337_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.6972765,0.7977099,0.47489044
D300_PN_DSC_2373_.NEF,D300_PN_DSC_2373_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.6640595,0.7585993,0.41213477
D300_PN_DSC_2848_.NEF,D300_PN_DSC_2848_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.61020654,0.7656055,0.34663343
D300_PN_DSC_4045_.NEF,D300_PN_DSC_4045_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.6431264,0.76200813,0.32926527
D300_PN_DSC_4311_.NEF,D300_PN_DSC_4311_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.5677594,0.7615329,0.20753518
D300_PN_DSC_4547_.NEF,D300_PN_DSC_4547_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.5354745,0.65278536,0.27277234
D300_PN_DSC_5147_.NEF,D300_PN_DSC_5147_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.5721577,0.61139005,0.3992027
D300_PN_DSC_5358_.NEF,D300_PN_DSC_5358_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.69111323,0.76772594,0.42186746
D300_PN_DSC_5449_.NEF,D300_PN_DSC_5449_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.7914026,0.83022755,0.36878487
D300_PN_DSC_5574_.NEF,D300_PN_DSC_5574_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.60289526,0.92048746,0.43213165
D300_PN_DSC_6926_.NEF,D300_PN_DSC_6926_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.7141903,0.83144784,0.29541656
D300_PN_DSC_7484_.NEF,D300_PN_DSC_7484_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.43902332,0.66916144,0.17379394
D300_PN_DSC_7589_.NEF,D300_PN_DSC_7589_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.52598935,0.76232874,0.1882408
D300_PN_DSC_8921_.NEF,D300_PN_DSC_8921_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.68175596,0.88435304,0.3069339
D300_PN_DSC_8937_.NEF,D300_PN_DSC_8937_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.5617645,0.71661067,0.21696003
D300_PN_DSC_9062_.NEF,D300_PN_DSC_9062_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.6017242,0.7676374,0.22475731
D300_PN_DSC_9164_.NEF,D300_PN_DSC_9164_CaptureOne.dng,3,2,3,3,1,3,FALSE,-1,-1,-1,-1,0.5126465,0.7107273,0.20258111
D3_LISI_DSC4421_.NEF,D3_LISI_DSC4421_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.999743,0.999574,0.99654794
D3_LISI_IMG4467_.NEF,D3_LISI_IMG4467_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9999223,0.9989531,0.9983311
D3_LISI_IMG4502_.NEF,D3_LISI_IMG4502_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.99977773,0.99803156,0.9969994
D3_LISI_pflanze_011_.NEF,D3_LISI_pflanze_011_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.8149368,0.6774592,0.15066902
D4_LISI_hundezone_009_.NEF,D4_LISI_hundezone_009_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.59022295,0.8541529,0.37063032
D4_LISI_hundezone_029_.NEF,D4_LISI_hundezone_029_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.49085683,0.7907641,0.30058172
D4_LISI_hundezone_043_.NEF,D4_LISI_hundezone_043_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.5457101,0.75761837,0.33569142
D4_LISI_hundezone_045_.NEF,D4_LISI_hundezone_045_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.48535255,0.6899565,0.30236307
D700_CMK_1449_.NEF,D700_CMK_1449_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9998751,0.9989093,0.9972384
D700_CMK_1455_.NEF,D700_CMK_1455_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9999106,0.9991133,0.99822235
D700_CMK_1476_.NEF,D700_CMK_1476_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.9997257,0.99610424,0.998563
D700_KPIC_1_.NEF,D700_KPIC_1_CaptureOne.dng,3,2,2,3,2,3,FALSE,-1,-1,-1,-1,0.9999044,0.999722,0.9978085
D700_KPIC_2_.NEF,D700_KPIC_2_CaptureOne.dng,3,2,3,3,2,3,FALSE,-1,-1,-1,-1,0.999844,0.99979097,0.99787146
